,rise_cap,fall_cap
BUFx10_ASAP7_75t_R,1.33381,1.3354
BUFx12_ASAP7_75t_R,1.33321,1.33622
BUFx12f_ASAP7_75t_R,2.60175,2.59691
BUFx16f_ASAP7_75t_R,2.59713,2.5975
BUFx24_ASAP7_75t_R,2.60735,2.60404
BUFx2_ASAP7_75t_R,0.577042,0.576706
BUFx3_ASAP7_75t_R,0.693366,0.693513
BUFx4_ASAP7_75t_R,0.581966,0.581489
BUFx4f_ASAP7_75t_R,1.08995,1.08939
BUFx5_ASAP7_75t_R,0.693346,0.6936
BUFx6f_ASAP7_75t_R,1.33316,1.32962
BUFx8_ASAP7_75t_R,0.938203,0.937541
HB1xp67_ASAP7_75t_R,0.338359,0.338056
HB2xp67_ASAP7_75t_R,0.517041,0.516875
HB3xp67_ASAP7_75t_R,0.660732,0.660726
HB4xp67_ASAP7_75t_R,0.801889,0.801233
